label,img1,img2,text
VIFusion/MSRS/DiS-IF_MSRS_train/00442D.png,VIFusion/MSRS/vi/00442D.png,VIFusion/MSRS/ir/00442D.png,VIFusion/MSRS/content_detail/00442D.txt
VIFusion/MSRS/DiS-IF_MSRS_train/01429D.png,VIFusion/MSRS/vi/01429D.png,VIFusion/MSRS/ir/01429D.png,VIFusion/MSRS/content_detail/01429D.txt
VIFusion/MSRS/DiS-IF_MSRS_train/01557D.png,VIFusion/MSRS/vi/01557D.png,VIFusion/MSRS/ir/01557D.png,VIFusion/MSRS/content_detail/01557D.txt
VIFusion/MSRS/DiS-IF_MSRS_train/00050N.png,VIFusion/MSRS/vi/00050N.png,VIFusion/MSRS/ir/00050N.png,VIFusion/MSRS/content_detail/00050N.txt
VIFusion/MSRS/DiS-IF_MSRS_train/00238D.png,VIFusion/MSRS/vi/00238D.png,VIFusion/MSRS/ir/00238D.png,VIFusion/MSRS/content_detail/00238D.txt
VIFusion/MSRS/DiS-IF_MSRS_train/01500D.png,VIFusion/MSRS/vi/01500D.png,VIFusion/MSRS/ir/01500D.png,VIFusion/MSRS/content_detail/01500D.txt
VIFusion/MSRS/DiS-IF_MSRS_train/01208N.png,VIFusion/MSRS/vi/01208N.png,VIFusion/MSRS/ir/01208N.png,VIFusion/MSRS/content_detail/01208N.txt
VIFusion/MSRS/DiS-IF_MSRS_train/01404D.png,VIFusion/MSRS/vi/01404D.png,VIFusion/MSRS/ir/01404D.png,VIFusion/MSRS/content_detail/01404D.txt
VIFusion/MSRS/DiS-IF_MSRS_train/01463D.png,VIFusion/MSRS/vi/01463D.png,VIFusion/MSRS/ir/01463D.png,VIFusion/MSRS/content_detail/01463D.txt
VIFusion/MSRS/DiS-IF_MSRS_train/01051N.png,VIFusion/MSRS/vi/01051N.png,VIFusion/MSRS/ir/01051N.png,VIFusion/MSRS/content_detail/01051N.txt
VIFusion/MSRS/DiS-IF_MSRS_train/00684N.png,VIFusion/MSRS/vi/00684N.png,VIFusion/MSRS/ir/00684N.png,VIFusion/MSRS/content_detail/00684N.txt
