label,img1,img2,pt
VIFusion/MSRS/PSFusion_MSRS_train/00442D.png,VIFusion/MSRS/vi/00442D.png,VIFusion/MSRS/ir/00442D.png,VIFusion/MSRS/latents/00442D.pt
VIFusion/MSRS/PSFusion_MSRS_train/01429D.png,VIFusion/MSRS/vi/01429D.png,VIFusion/MSRS/ir/01429D.png,VIFusion/MSRS/latents/01429D.pt
VIFusion/MSRS/PSFusion_MSRS_train/01557D.png,VIFusion/MSRS/vi/01557D.png,VIFusion/MSRS/ir/01557D.png,VIFusion/MSRS/latents/01557D.pt
VIFusion/MSRS/PSFusion_MSRS_train/00050N.png,VIFusion/MSRS/vi/00050N.png,VIFusion/MSRS/ir/00050N.png,VIFusion/MSRS/latents/00050N.pt
VIFusion/MSRS/PSFusion_MSRS_train/00238D.png,VIFusion/MSRS/vi/00238D.png,VIFusion/MSRS/ir/00238D.png,VIFusion/MSRS/latents/00238D.pt
VIFusion/MSRS/PSFusion_MSRS_train/01500D.png,VIFusion/MSRS/vi/01500D.png,VIFusion/MSRS/ir/01500D.png,VIFusion/MSRS/latents/01500D.pt
VIFusion/MSRS/PSFusion_MSRS_train/01208N.png,VIFusion/MSRS/vi/01208N.png,VIFusion/MSRS/ir/01208N.png,VIFusion/MSRS/latents/01208N.pt
VIFusion/MSRS/PSFusion_MSRS_train/01404D.png,VIFusion/MSRS/vi/01404D.png,VIFusion/MSRS/ir/01404D.png,VIFusion/MSRS/latents/01404D.pt
VIFusion/MSRS/PSFusion_MSRS_train/01463D.png,VIFusion/MSRS/vi/01463D.png,VIFusion/MSRS/ir/01463D.png,VIFusion/MSRS/latents/01463D.pt
VIFusion/MSRS/PSFusion_MSRS_train/01051N.png,VIFusion/MSRS/vi/01051N.png,VIFusion/MSRS/ir/01051N.png,VIFusion/MSRS/latents/01051N.pt
VIFusion/MSRS/PSFusion_MSRS_train/00684N.png,VIFusion/MSRS/vi/00684N.png,VIFusion/MSRS/ir/00684N.png,VIFusion/MSRS/latents/00684N.pt
VIFusion/MSRS/PSFusion_MSRS_train/00812N.png,VIFusion/MSRS/vi/00812N.png,VIFusion/MSRS/ir/00812N.png,VIFusion/MSRS/latents/00812N.pt
VIFusion/MSRS/PSFusion_MSRS_train/01452D.png,VIFusion/MSRS/vi/01452D.png,VIFusion/MSRS/ir/01452D.png,VIFusion/MSRS/latents/01452D.pt
VIFusion/MSRS/PSFusion_MSRS_train/01550D.png,VIFusion/MSRS/vi/01550D.png,VIFusion/MSRS/ir/01550D.png,VIFusion/MSRS/latents/01550D.pt
VIFusion/MSRS/PSFusion_MSRS_train/01187N.png,VIFusion/MSRS/vi/01187N.png,VIFusion/MSRS/ir/01187N.png,VIFusion/MSRS/latents/01187N.pt
VIFusion/MSRS/PSFusion_MSRS_train/01346N.png,VIFusion/MSRS/vi/01346N.png,VIFusion/MSRS/ir/01346N.png,VIFusion/MSRS/latents/01346N.pt
VIFusion/MSRS/PSFusion_MSRS_train/01443D.png,VIFusion/MSRS/vi/01443D.png,VIFusion/MSRS/ir/01443D.png,VIFusion/MSRS/latents/01443D.pt
VIFusion/MSRS/PSFusion_MSRS_train/00414D.png,VIFusion/MSRS/vi/00414D.png,VIFusion/MSRS/ir/00414D.png,VIFusion/MSRS/latents/00414D.pt
VIFusion/MSRS/PSFusion_MSRS_train/01525D.png,VIFusion/MSRS/vi/01525D.png,VIFusion/MSRS/ir/01525D.png,VIFusion/MSRS/latents/01525D.pt
VIFusion/MSRS/PSFusion_MSRS_train/00864N.png,VIFusion/MSRS/vi/00864N.png,VIFusion/MSRS/ir/00864N.png,VIFusion/MSRS/latents/00864N.pt
VIFusion/MSRS/PSFusion_MSRS_train/00767N.png,VIFusion/MSRS/vi/00767N.png,VIFusion/MSRS/ir/00767N.png,VIFusion/MSRS/latents/00767N.pt
VIFusion/MSRS/PSFusion_MSRS_train/01329N.png,VIFusion/MSRS/vi/01329N.png,VIFusion/MSRS/ir/01329N.png,VIFusion/MSRS/latents/01329N.pt
VIFusion/MSRS/PSFusion_MSRS_train/00456D.png,VIFusion/MSRS/vi/00456D.png,VIFusion/MSRS/ir/00456D.png,VIFusion/MSRS/latents/00456D.pt
VIFusion/MSRS/PSFusion_MSRS_train/00183D.png,VIFusion/MSRS/vi/00183D.png,VIFusion/MSRS/ir/00183D.png,VIFusion/MSRS/latents/00183D.pt
VIFusion/MSRS/PSFusion_MSRS_train/00979N.png,VIFusion/MSRS/vi/00979N.png,VIFusion/MSRS/ir/00979N.png,VIFusion/MSRS/latents/00979N.pt
VIFusion/MSRS/PSFusion_MSRS_train/00769N.png,VIFusion/MSRS/vi/00769N.png,VIFusion/MSRS/ir/00769N.png,VIFusion/MSRS/latents/00769N.pt
VIFusion/MSRS/PSFusion_MSRS_train/00692N.png,VIFusion/MSRS/vi/00692N.png,VIFusion/MSRS/ir/00692N.png,VIFusion/MSRS/latents/00692N.pt
VIFusion/MSRS/PSFusion_MSRS_train/00956N.png,VIFusion/MSRS/vi/00956N.png,VIFusion/MSRS/ir/00956N.png,VIFusion/MSRS/latents/00956N.pt
VIFusion/MSRS/PSFusion_MSRS_train/00795N.png,VIFusion/MSRS/vi/00795N.png,VIFusion/MSRS/ir/00795N.png,VIFusion/MSRS/latents/00795N.pt
VIFusion/MSRS/PSFusion_MSRS_train/00788N.png,VIFusion/MSRS/vi/00788N.png,VIFusion/MSRS/ir/00788N.png,VIFusion/MSRS/latents/00788N.pt
VIFusion/MSRS/PSFusion_MSRS_train/01494D.png,VIFusion/MSRS/vi/01494D.png,VIFusion/MSRS/ir/01494D.png,VIFusion/MSRS/latents/01494D.pt
VIFusion/MSRS/PSFusion_MSRS_train/00150D.png,VIFusion/MSRS/vi/00150D.png,VIFusion/MSRS/ir/00150D.png,VIFusion/MSRS/latents/00150D.pt
VIFusion/MSRS/PSFusion_MSRS_train/00217D.png,VIFusion/MSRS/vi/00217D.png,VIFusion/MSRS/ir/00217D.png,VIFusion/MSRS/latents/00217D.pt
VIFusion/MSRS/PSFusion_MSRS_train/00259D.png,VIFusion/MSRS/vi/00259D.png,VIFusion/MSRS/ir/00259D.png,VIFusion/MSRS/latents/00259D.pt
VIFusion/MSRS/PSFusion_MSRS_train/00234D.png,VIFusion/MSRS/vi/00234D.png,VIFusion/MSRS/ir/00234D.png,VIFusion/MSRS/latents/00234D.pt
VIFusion/MSRS/PSFusion_MSRS_train/00149D.png,VIFusion/MSRS/vi/00149D.png,VIFusion/MSRS/ir/00149D.png,VIFusion/MSRS/latents/00149D.pt
VIFusion/MSRS/PSFusion_MSRS_train/00001D.png,VIFusion/MSRS/vi/00001D.png,VIFusion/MSRS/ir/00001D.png,VIFusion/MSRS/latents/00001D.pt
VIFusion/MSRS/PSFusion_MSRS_train/01457D.png,VIFusion/MSRS/vi/01457D.png,VIFusion/MSRS/ir/01457D.png,VIFusion/MSRS/latents/01457D.pt
VIFusion/MSRS/PSFusion_MSRS_train/01301N.png,VIFusion/MSRS/vi/01301N.png,VIFusion/MSRS/ir/01301N.png,VIFusion/MSRS/latents/01301N.pt
VIFusion/MSRS/PSFusion_MSRS_train/00100D.png,VIFusion/MSRS/vi/00100D.png,VIFusion/MSRS/ir/00100D.png,VIFusion/MSRS/latents/00100D.pt
VIFusion/MSRS/PSFusion_MSRS_train/00860N.png,VIFusion/MSRS/vi/00860N.png,VIFusion/MSRS/ir/00860N.png,VIFusion/MSRS/latents/00860N.pt
VIFusion/MSRS/PSFusion_MSRS_train/01529D.png,VIFusion/MSRS/vi/01529D.png,VIFusion/MSRS/ir/01529D.png,VIFusion/MSRS/latents/01529D.pt
VIFusion/MSRS/PSFusion_MSRS_train/00809N.png,VIFusion/MSRS/vi/00809N.png,VIFusion/MSRS/ir/00809N.png,VIFusion/MSRS/latents/00809N.pt
VIFusion/MSRS/PSFusion_MSRS_train/01461D.png,VIFusion/MSRS/vi/01461D.png,VIFusion/MSRS/ir/01461D.png,VIFusion/MSRS/latents/01461D.pt
VIFusion/MSRS/PSFusion_MSRS_train/00991N.png,VIFusion/MSRS/vi/00991N.png,VIFusion/MSRS/ir/00991N.png,VIFusion/MSRS/latents/00991N.pt
VIFusion/MSRS/PSFusion_MSRS_train/00948N.png,VIFusion/MSRS/vi/00948N.png,VIFusion/MSRS/ir/00948N.png,VIFusion/MSRS/latents/00948N.pt
VIFusion/MSRS/PSFusion_MSRS_train/01444D.png,VIFusion/MSRS/vi/01444D.png,VIFusion/MSRS/ir/01444D.png,VIFusion/MSRS/latents/01444D.pt
VIFusion/MSRS/PSFusion_MSRS_train/00586D.png,VIFusion/MSRS/vi/00586D.png,VIFusion/MSRS/ir/00586D.png,VIFusion/MSRS/latents/00586D.pt
